artistName,sPlayed,count,genres
Dusty Springfield,164,1,"['adult standards', 'brill building pop', 'british invasion', 'folk', 'folk rock', 'mellow gold', 'motown', 'soul', 'vocal jazz']"
Eagles,391,1,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Eddie Harper,855,4,['background jazz']
Eddy Mitchell,210,1,"['chanson', 'french pop']"
Edgar Hopp,5481,27,[]
El Huervo,161,1,[]
El Michels Affair,174,1,"['afrobeat', 'funk', 'indie jazz', 'indie soul', 'instrumental soul', 'soul']"
Electric Light Orchestra,801,3,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
Element Eighty,39,1,"['alternative metal', 'nu metal', 'rap rock']"
Ella Fitzgerald & Louis Armstrong,704,2,[]
Elle King,490,2,['modern blues rock']
Eluveitie,498,2,"['bow pop', 'celtic metal', 'folk metal', 'hurdy-gurdy', 'melodic death metal', 'power metal', 'swiss metal']"
Emigrate,737,3,"['industrial metal', 'industrial rock', 'neue deutsche harte']"
Eminem,6138,51,"['detroit hip hop', 'hip hop', 'rap']"
Enaid,220,1,"['celtic', 'medieval folk', 'new age']"
Ensemble Galilei,179,1,"['hammered dulcimer', 'medieval folk', 'string folk']"
Ensiferum,435,2,"['finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'viking metal']"
Epic Mountain,2348,6,['video game music']
Epic North,642,4,['epicore']
Epica,2494,8,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'neo classical metal', 'opera metal', 'power metal', 'symphonic metal']"
Eric Church,175,1,"['contemporary country', 'country', 'country road']"
Eric Clapton,4986,17,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']"
Eric Whitacre,294,1,"['21st century classical', 'american 21st century classical', 'choral', 'contemporary choir']"
Erik Ekholm,1319,7,"['epicore', 'scorecore']"
Erinrad Viker Sinfonietta,5254,29,[]
Erutan,194,1,"['medieval folk', 'otacore']"
Escape the Fate,266,1,"['alternative metal', 'metalcore', 'modern rock', 'pixie', 'pop punk', 'screamo']"
Eurielle,419,2,['epicore']
Evergrey,6,1,"['melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'swedish progressive metal']"
Fabe,38,1,"['french hip hop', 'old school rap francais', 'rap inde']"
FalKKonE,285,1,['otacore']
Falconer,309,1,"['folk metal', 'melodic metal', 'neo classical metal', 'nordic folk metal', 'power metal', 'swedish power metal']"
Falkenbach,349,1,"['autonomous black metal', 'folk black metal', 'folk metal', 'german metal', 'icelandic black metal', 'nordic folk metal', 'pagan black metal', 'viking black metal', 'viking metal']"
Falling In Reverse,0,1,"['metalcore', 'modern rock', 'pop punk', 'rap metal']"
Feu! Chatterton,120,1,"['french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']"
Finntroll,501,3,"['finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'viking metal']"
Fleet Foxes,275,1,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']"
Fleshgod Apocalypse,317,2,"['blackened deathcore', 'brutal death metal', 'death metal', 'italian death metal', 'opera metal', 'symphonic death metal', 'symphonic metal', 'technical death metal']"
Florie Brown,133,1,[]
FlyByNo,10768,56,[]
Flying Colors,389,4,"['neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']"
Flynt,14,1,"['french hip hop', 'rap inde']"
Fonka & La Kok',23025,131,[]
Fonky Family,331,2,"['french hip hop', 'old school rap francais', 'rap conscient', 'rap marseille']"
Foo Fighters,269,1,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Fort Knox Five,240,1,['bboy']
Foster Davies,360,2,[]
Foxygen,201,1,"['baroque pop', 'experimental pop', 'freak folk', 'indie garage rock', 'indie pop', 'indie rock', 'neo-psychedelic']"
Frank Chacksfield & His Orchestra,11,1,"['adult standards', 'ballroom', 'easy listening', 'light music', 'lounge']"
Frank Sinatra,1252,7,"['adult standards', 'easy listening', 'lounge']"
Frans Bak,293,1,"['danish jazz', 'nordic soundtrack']"
Franska Trion,125,1,"['classic swedish pop', 'swedish jazz']"
French 79,746,3,"['french indie pop', 'french indietronica', 'new french touch']"
Freya Catherine,49,2,['otacore']
Frida Johansson,12641,49,['video game music']
Fulton Street Players,724,4,[]
Funky DL,252,1,"['ambeat', 'chillhop', 'jazz boom bap', 'jazz rap']"
Future Heroes,405,3,['epicore']
GENTLE LOVE,963,3,"['japanese vgm', 'otacore']"
