artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Katatonia,Old Heart Falls,262,1,"['alternative metal', 'doom metal', 'gothic metal', 'metal', 'progressive metal', 'swedish doom metal', 'swedish metal', 'swedish progressive metal']",4AHe46XPJyR6wt4jngb75M,262506.0,0.285,0.00495,0.533,0.0364,0.107,0.197,-7.657,0.0319,140.069,5.0,4.0
Keigo Hoashi,A Beautiful Song,246,1,['japanese vgm'],4d54i5M0BiT0R0u3alJTMC,246013.0,0.0957,0.00128,0.6,0.601,0.127,0.0399,-10.686,0.0389,72.59,2.0,4.0
Keigo Hoashi,Amusement Park,379,1,['japanese vgm'],32OCH26Knq4TMWhq7AV9tN,379066.0,0.507,0.0426,0.401,5.41e-05,0.153,0.162,-12.534,0.0285,119.952,0.0,4.0
Keigo Hoashi,Copied City,239,1,['japanese vgm'],4KISlFMjWUiahcjsqijLBC,239573.0,0.325,0.0884,0.669,0.985,0.382,0.364,-12.215,0.0303,87.91,5.0,3.0
Keigo Hoashi,Dark Colossus (Kaiju),366,1,['japanese vgm'],3CGG2wh4hu4Gj9CcXFOfqw,366413.0,0.52,0.0292,0.494,0.764,0.432,0.036,-10.346,0.0297,114.983,8.0,3.0
Keigo Hoashi,Faltering Prayer (Dawn Breeze),192,1,['japanese vgm'],2OAMjTEaGnllsm0Si6ZShD,192133.0,0.118,0.498,0.0609,0.9,0.0941,0.0555,-19.957,0.0384,79.217,7.0,1.0
Keigo Hoashi,Forest Kingdom,352,1,['japanese vgm'],0IiN0OR2BmLJpwECETGB9E,352040.0,0.581,0.0382,0.444,0.847,0.105,0.101,-16.708,0.0272,110.95,7.0,4.0
Keigo Hoashi,Treasured Times,226,1,['japanese vgm'],2w2AdTrFTcHOnn4DsH3jbs,226506.0,0.478,0.99,0.0284,0.548,0.0697,0.0651,-22.984,0.045,120.146,2.0,4.0
Keigo Hoashi,Vague Hope (Cold Rain),216,1,['japanese vgm'],1Rb41NEaZJWv6ihFvm9dwX,216120.0,0.564,0.901,0.262,0.00364,0.152,0.472,-18.329,0.0311,127.979,11.0,3.0
Keiichi Okabe,Birth of a Wish,280,1,['japanese vgm'],1vLOdL2b4k7cwUyJTmr8gS,280133.0,0.649,0.000766,0.829,0.777,0.141,0.754,-9.631,0.0503,110.683,9.0,5.0
Keiichi Okabe,City Ruins (Rays of Light),764,2,['japanese vgm'],6wH5Fx9Ux94OZMo8HNALXR,382800.0,0.523,0.897,0.418,0.301,0.116,0.324,-14.937,0.0265,99.985,6.0,3.0
Keiichi Okabe,City Ruins (Shade),361,1,['japanese vgm'],7fGXbdXWlUH6OoUEaHMww9,361346.0,0.652,0.652,0.289,0.541,0.193,0.115,-15.132,0.0287,100.005,10.0,3.0
Keiichi Okabe,End of the Unknown,271,1,['japanese vgm'],6qW0K7Po9uIE5phdLd5xRc,271066.0,0.572,0.0106,0.953,0.792,0.166,0.619,-9.854,0.0406,135.998,0.0,4.0
Keiichi Okabe,Pascal,287,1,['japanese vgm'],2vxNbL894XZjnw0ea1wsEA,287000.0,0.818,0.459,0.483,0.0414,0.0926,0.619,-14.51,0.0332,138.021,8.0,3.0
